the_geom,H_NO,BIN,ADDRESS_ID,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG,HN_RNG_SUF,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE
POINT (-73.97940791208316 40.756085886290094),560,1034253,1030290,,N,1,V,1,10036,04/06/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,5,,,1851,,,,AVE,,,5 AVE
POINT (-73.99426621088828 40.70193654938605),25,3001479,3002257,,N,1,V,3,11201,02/13/2009 12:00:00 AM +0000,09/09/2016 12:00:00 AM +0000,COLUMBIA,,,100296,,,,HTS,,,COLUMBIA HTS
POINT (-73.91888160897726 40.712779452812015),1903,4080420,89223,,N,1,V,4,11385,09/23/2008 12:00:00 AM +0000,07/16/2015 12:00:00 AM +0000,FLUSHING,,,23102,,,,AVE,,,FLUSHING AVE
POINT (-73.98637573862578 40.77857091070502),205,1070766,1027498,,N,1,V,1,10023,04/06/2009 12:00:00 AM +0000,09/09/2016 12:00:00 AM +0000,END,,,4140,,W,,AVE,,,W  END AVE
POINT (-73.91269643851712 40.88418333951877),3205,2114036,5178668,,N,2,V,2,10463,04/28/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,ARLINGTON,,,61034,,,,AVE,,,ARLINGTON AVE
POINT (-73.90772721221421 40.710759052483596),2130,4080294,89036,,N,2,V,4,11385,09/23/2008 12:00:00 AM +0000,07/06/2015 12:00:00 AM +0000,HARMAN,,,102621,,,,ST,,,HARMAN ST
POINT (-73.826987794325 40.868782727113185),2094,2095484,5178751,,N,1,V,2,10475,04/28/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,BARTOW,,,58695,,,,AVE,,,BARTOW AVE
POINT (-73.8271177769432 40.86859387683474),2098,2095484,5178753,,N,1,V,2,10475,04/28/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,BARTOW,,,58695,,,,AVE,,,BARTOW AVE
POINT (-73.82727727114451 40.8673536761225),2130,2116658,5178756,,N,2,V,2,10475,04/28/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,BARTOW,,,58697,,,,AVE,,,BARTOW AVE
POINT (-73.91227573371737 40.81996752539329),739,2120125,5178955,,N,1,V,2,10451,05/02/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,BROOK,,,59678,,,,AVE,,,BROOK AVE
POINT (-73.89902017357042 40.82370113645165),866,2120263,5179068,,N,1,V,2,10459,05/03/2017 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,165,,,64293,,E,,ST,,,E  165 ST
